millis,epoch,sync,f1LV,f2LV,f3LV,f4LV,f5LV,f1RV,f2RV,f3RV,f4RV,f5RV
80628, 1542380267, 0, 601, 723, 635, 865, 513, 503, 757, 733, 1148, 591
80638, 1542380267, 0, 601, 728, 635, 865, 513, 498, 757, 733, 1148, 591
80648, 1542380267, 0, 601, 728, 635, 865, 513, 498, 757, 728, 1148, 591
80658, 1542380267, 0, 601, 728, 635, 865, 513, 503, 762, 733, 1153, 591
80668, 1542380267, 0, 606, 728, 635, 865, 508, 498, 762, 733, 1153, 591
80678, 1542380267, 0, 601, 723, 635, 865, 513, 503, 757, 728, 1153, 591
80688, 1542380267, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1148, 591
80698, 1542380267, 0, 601, 728, 635, 860, 513, 503, 762, 728, 1148, 591
80708, 1542380267, 0, 601, 728, 635, 865, 508, 503, 762, 733, 1148, 591
80718, 1542380267, 0, 601, 723, 635, 865, 508, 498, 762, 733, 1148, 591
80728, 1542380267, 0, 601, 728, 635, 869, 513, 498, 762, 733, 1153, 591
80738, 1542380267, 0, 601, 723, 635, 865, 508, 503, 762, 733, 1148, 591
80748, 1542380267, 0, 601, 723, 635, 865, 513, 503, 762, 728, 1148, 591
80758, 1542380267, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1148, 591
80768, 1542380267, 0, 601, 723, 640, 865, 508, 498, 762, 733, 1153, 591
80778, 1542380267, 0, 601, 728, 635, 865, 513, 503, 762, 733, 1148, 591
80788, 1542380267, 0, 601, 728, 635, 860, 508, 503, 762, 728, 1143, 591
80798, 1542380267, 0, 601, 728, 635, 865, 513, 503, 762, 733, 1153, 591
80808, 1542380267, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1148, 591
80818, 1542380267, 0, 606, 723, 635, 865, 508, 498, 762, 733, 1148, 591
80828, 1542380267, 0, 601, 723, 635, 865, 513, 498, 762, 733, 1148, 591
80838, 1542380267, 0, 606, 728, 635, 865, 508, 498, 762, 733, 1148, 591
80848, 1542380267, 0, 601, 728, 635, 865, 508, 498, 762, 733, 1148, 591
80858, 1542380267, 0, 601, 728, 635, 865, 508, 498, 762, 733, 1148, 591
80868, 1542380267, 0, 601, 728, 640, 865, 508, 503, 762, 733, 1153, 591
80878, 1542380267, 0, 601, 728, 635, 860, 508, 498, 757, 733, 1148, 591
80888, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 728, 1148, 591
80898, 1542380267, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1148, 591
80908, 1542380267, 0, 606, 723, 630, 860, 508, 498, 762, 733, 1148, 591
80918, 1542380267, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1148, 591
80928, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 591
80939, 1542380267, 0, 601, 728, 635, 860, 508, 498, 767, 738, 1153, 591
80949, 1542380267, 0, 606, 728, 635, 860, 508, 498, 762, 733, 1153, 591
80959, 1542380267, 0, 601, 728, 635, 855, 508, 498, 762, 733, 1148, 586
80969, 1542380267, 0, 606, 723, 635, 860, 508, 498, 762, 733, 1148, 591
80979, 1542380267, 0, 601, 728, 635, 860, 508, 498, 762, 733, 1148, 591
80989, 1542380267, 0, 601, 728, 635, 860, 508, 498, 757, 733, 1148, 591
80999, 1542380267, 0, 601, 728, 635, 860, 508, 498, 757, 733, 1153, 591
81009, 1542380267, 0, 606, 728, 635, 860, 508, 503, 767, 733, 1153, 596
81019, 1542380267, 0, 606, 728, 635, 860, 508, 498, 762, 733, 1153, 591
81029, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 591
81039, 1542380267, 0, 601, 728, 635, 860, 513, 503, 762, 733, 1148, 591
81049, 1542380267, 0, 606, 728, 635, 860, 508, 498, 762, 733, 1153, 586
81059, 1542380267, 0, 601, 723, 630, 860, 508, 503, 762, 733, 1148, 591
81069, 1542380267, 0, 601, 728, 635, 855, 508, 503, 762, 738, 1148, 591
81079, 1542380267, 0, 601, 728, 640, 860, 508, 503, 762, 738, 1153, 586
81089, 1542380267, 0, 606, 723, 630, 860, 508, 503, 762, 733, 1148, 586
81099, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 586
81110, 1542380267, 0, 601, 728, 635, 860, 513, 498, 762, 733, 1148, 591
81120, 1542380267, 0, 601, 728, 635, 860, 508, 498, 747, 733, 1148, 591
81130, 1542380267, 0, 601, 728, 635, 860, 503, 498, 762, 733, 1148, 586
81140, 1542380267, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1153, 591
81150, 1542380267, 0, 606, 728, 635, 860, 508, 503, 762, 733, 1153, 591
81160, 1542380267, 0, 606, 728, 635, 860, 508, 498, 762, 733, 1153, 591
81170, 1542380267, 0, 601, 728, 635, 860, 508, 498, 762, 733, 1148, 586
81180, 1542380267, 0, 601, 728, 630, 860, 513, 498, 762, 733, 1153, 586
81190, 1542380267, 0, 601, 723, 635, 860, 508, 503, 762, 733, 1153, 586
81200, 1542380267, 0, 606, 723, 630, 860, 508, 498, 762, 733, 1153, 586
81210, 1542380267, 0, 601, 723, 630, 855, 508, 503, 767, 733, 1153, 591
81220, 1542380267, 0, 606, 723, 635, 860, 508, 498, 767, 738, 1153, 591
81230, 1542380267, 0, 606, 728, 635, 860, 508, 498, 762, 733, 1153, 586
81240, 1542380267, 0, 601, 728, 630, 860, 508, 503, 762, 733, 1153, 581
81250, 1542380267, 0, 601, 728, 635, 860, 513, 498, 762, 733, 1148, 586
81260, 1542380267, 0, 601, 723, 630, 860, 508, 498, 762, 733, 1153, 586
81270, 1542380267, 0, 601, 728, 635, 855, 508, 498, 762, 733, 1148, 586
81280, 1542380267, 0, 606, 723, 635, 860, 513, 498, 762, 728, 1148, 581
81290, 1542380267, 0, 606, 728, 630, 860, 513, 503, 767, 733, 1153, 591
81300, 1542380267, 0, 601, 728, 635, 860, 513, 498, 767, 733, 1153, 586
81310, 1542380267, 0, 601, 728, 635, 860, 508, 498, 762, 738, 1148, 586
81320, 1542380267, 0, 601, 728, 635, 860, 513, 498, 757, 733, 1148, 586
81330, 1542380267, 0, 601, 723, 630, 860, 513, 498, 762, 733, 1153, 586
81340, 1542380267, 0, 601, 723, 635, 860, 513, 498, 762, 733, 1153, 586
81350, 1542380267, 0, 601, 728, 635, 860, 508, 498, 762, 733, 1148, 586
81360, 1542380267, 0, 601, 723, 635, 865, 508, 503, 762, 738, 1153, 586
81370, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 586
81380, 1542380267, 0, 601, 723, 630, 855, 513, 503, 762, 733, 1148, 586
81390, 1542380267, 0, 601, 728, 630, 860, 508, 498, 762, 733, 1148, 586
81400, 1542380267, 0, 596, 723, 630, 860, 513, 498, 757, 733, 1153, 586
81410, 1542380267, 0, 601, 728, 635, 855, 513, 503, 762, 733, 1153, 586
81424, 1542380267, 0, 601, 728, 640, 860, 508, 503, 762, 733, 1153, 591
81434, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 738, 1153, 586
